stair.thisTrialN,key_resp.corr,,,,,,,,,,,stair.thisTrialN,tilt
0,1,,,,,,,,,,,0,-10
1,0,,,,,,,,,,,1,8
2,1,,,,,,,,,,,2,-9
3,1,,,,,,,,,,,3,-9
4,1,,,,,,,,,,,4,-9
5,1,,,,,,,,,,,5,8
6,0,,,,,,,,,,,6,8
7,1,,,,,,,,,,,7,-8.5
8,1,,,,,,,,,,,8,8.5
9,1,,,,,,,,,,,9,-8.5
10,1,,,,,,,,,,,10,-8
11,1,,,,,,,,,,,11,8
12,1,,,,,,,,,,,12,-8
13,1,,,,,,,,,,,13,7.5
14,1,,,,,,,,,,,14,-7.5
15,1,,,,,,,,,,,15,-7.5
16,1,,,,,,,,,,,16,-7
17,1,,,,,,,,,,,17,-7
18,1,,,,,,,,,,,18,7
19,1,,,,,,,,,,,19,-6.5
20,1,,,,,,,,,,,20,6.5
21,1,,,,,,,,,,,21,-6.5
22,0,,,,,,,,,,,22,-6
23,1,,,,,,,,,,,23,-6.5
24,1,,,,,,,,,,,24,6.5
25,1,,,,,,,,,,,25,6.5
26,1,,,,,,,,,,,26,6
27,1,,,,,,,,,,,27,-6
28,1,,,,,,,,,,,28,-6
29,0,,,,,,,,,,,29,5.5
30,1,,,,,,,,,,,30,6
31,1,,,,,,,,,,,31,6
32,1,,,,,,,,,,,32,-6
33,0,,,,,,,,,,,33,5.5
34,1,,,,,,,,,,,34,-6
35,1,,,,,,,,,,,35,-6
36,1,,,,,,,,,,,36,-6
37,1,,,,,,,,,,,37,5.5
38,1,,,,,,,,,,,38,5.5
39,1,,,,,,,,,,,39,-5.5
40,1,,,,,,,,,,,40,5
41,1,,,,,,,,,,,41,5
42,1,,,,,,,,,,,42,-5
43,1,,,,,,,,,,,43,4.5
44,1,,,,,,,,,,,44,-4.5
45,1,,,,,,,,,,,45,4.5
46,1,,,,,,,,,,,46,-4
47,0,,,,,,,,,,,47,4
48,1,,,,,,,,,,,48,-4.5
49,1,,,,,,,,,,,49,4.5
50,1,,,,,,,,,,,50,-4.5
51,1,,,,,,,,,,,51,4
52,0,,,,,,,,,,,52,-4
53,0,,,,,,,,,,,53,-4.5
54,1,,,,,,,,,,,54,-5
55,1,,,,,,,,,,,55,5
56,1,,,,,,,,,,,56,5
57,1,,,,,,,,,,,57,4.5
58,1,,,,,,,,,,,58,4.5
59,1,,,,,,,,,,,59,4.5
60,1,,,,,,,,,,,60,4
61,1,,,,,,,,,,,61,-4
62,1,,,,,,,,,,,62,-4
63,1,,,,,,,,,,,63,-3.5
64,1,,,,,,,,,,,64,3.5
65,1,,,,,,,,,,,65,3.5
66,1,,,,,,,,,,,66,3
67,1,,,,,,,,,,,67,3
68,1,,,,,,,,,,,68,3
69,1,,,,,,,,,,,69,-2.5
70,1,,,,,,,,,,,70,-2.5
71,1,,,,,,,,,,,71,2.5
72,0,,,,,,,,,,,72,-2
73,1,,,,,,,,,,,73,-2.5
74,1,,,,,,,,,,,74,-2.5
75,1,,,,,,,,,,,75,-2.5
76,0,,,,,,,,,,,76,2
77,1,,,,,,,,,,,77,2.5
78,1,,,,,,,,,,,78,2.5
79,1,,,,,,,,,,,79,-2.5
80,1,,,,,,,,,,,80,2
81,1,,,,,,,,,,,81,-2
82,0,,,,,,,,,,,82,-2
83,1,,,,,,,,,,,83,-2.5
84,1,,,,,,,,,,,84,2.5
85,1,,,,,,,,,,,85,-2.5
86,1,,,,,,,,,,,86,2
87,1,,,,,,,,,,,87,2
88,1,,,,,,,,,,,88,-2
89,0,,,,,,,,,,,89,-1.5
90,1,,,,,,,,,,,90,2
91,1,,,,,,,,,,,91,2
92,1,,,,,,,,,,,92,-2
93,1,,,,,,,,,,,93,-1.5
94,1,,,,,,,,,,,94,1.5
95,1,,,,,,,,,,,95,-1.5
96,1,,,,,,,,,,,96,1
97,1,,,,,,,,,,,97,1
98,1,,,,,,,,,,,98,1
99,0,,,,,,,,,,,99,-1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,absolute threshold
,,,,,,,,,,,,,
,,,,,,,,,,,,,accuracy 
