num_distr,mouse_time,,,
5,2.212806,,,
5,1.8826433,,,
5,17.7355331,,,
5,2.880577,,,
5,1.3923746,,x1,5
5,1.0129029,,x2,10
5,3.4071815,,y1,2.082393097
5,2.5087269,,y2,2.458114373
5,1.8434697,,,
5,2.1403539,,,
5,1.3526489,,,
5,1.3902882,,slope,y2-y1/x2-x1
5,1.5652326,,,0.075144255
5,1.8175738,,,
5,1.6077594,,,
5,1.6730193,,,
5,1.3597017,,,
5,1.2122928,,,
5,1.3358609,,,
5,2.0455212,,,
5,1.0911323,,,
5,1.3337443,,,
5,1.8471434,,,
5,0.8164781,,,
5,1.5821312,,,
5,1.8550068,,,
5,1.2686299,,,
5,1.3245997,,,
5,1.3384051,,,
5,1.9584272,,,
5,1.8846971,,,
5,2.2990066,,,
5,1.4516653,,,
5,3.7164756,,,
5,2.6282778,,,
5,1.2612829,,,
5,1.3093301,,,
5,1.2480166,,,
5,3.2721855,,,
5,1.4288201,,,
5,1.5315284,,,
5,2.3500296,,,
5,1.9027232,,,
5,1.1475126,,,
5,1.5531724,,,
5,1.2786174,,,
5,1.9458402,,,
5,1.6206465,,,
5,4.1031253,,,
5,1.8751421,,,
5,1.4592666,,,
5,1.9190028,,,
5,1.3115707,,,
5,1.6106995,,,
5,1.3873907,,,
5,1.7170946,,,
5,2.448831,,,
5,1.8134965,,,
5,2.6538622,,,
5,1.5921444,,,
5,5.098252,,,
5,2.2973371,,,
5,1.9526442,,,
5,2.2202335,,,
5,2.6885224,,,
5,3.9462448,,,
5,1.4011382,,,
5,1.5113336,,,
5,2.0298799,,,
5,1.3875986,,,
5,1.5847278,,,
5,2.8228414,,,
5,1.3359248,,,
5,2.1763466,,,
5,1.955926,,,
5,2.1622916,,,
5,1.6957974,,,
5,1.7266263,,,
5,1.1315866,,,
5,1.287099,,,
5,1.1678311,,,
5,1.5564369,,,
5,3.0366835,,,
5,1.7337056,,,
5,2.7677389,,,
5,1.886041,,,
5,3.1830427,,,
5,1.51885,,,
5,3.6642679,,,
5,1.802793,,,
5,1.8673711,,,
5,1.3717796,,,
5,1.1800449,,,
10,1.8020731,,,
10,1.2194956,,,
10,4.0406816,,,
10,7.1403133,,,
10,1.60598,,,
10,2.0784797,,,
10,2.5549434,,,
10,1.4026368,,,
10,2.2293244,,,
10,2.9850478,,,
10,1.5022034,,,
10,1.2544857,,,
10,5.0828996,,,
10,3.2359923,,,
10,2.0318842,,,
10,2.2938739,,,
10,2.1343604,,,
10,1.8571995,,,
10,3.1981338,,,
10,3.3044042,,,
10,2.8988154,,,
10,1.2375084,,,
10,2.6025628,,,
10,2.0377264,,,
10,2.1450016,,,
10,1.9859818,,,
10,2.2654331,,,
10,1.7951324,,,
10,1.488682,,,
10,3.8270657,,,
10,2.9228281,,,
10,2.1609942,,,
10,1.3820461,,,
10,1.712535,,,
10,2.872764,,,
10,1.6579874,,,
10,1.9384581,,,
10,1.797119,,,
10,2.6421633,,,
10,1.8079297,,,
10,2.3211549,,,
10,1.3634831,,,
10,1.2375494,,,
10,1.4217297,,,
10,3.4928505,,,
10,1.3812736,,,
10,1.7071158,,,
10,2.5999769,,,
10,3.5744536,,,
10,1.9193392,,,
10,1.5416766,,,
10,1.7913297,,,
10,1.898081,,,
10,2.9754013,,,
10,3.3002802,,,
10,2.1078973,,,
10,3.7540067,,,
10,1.6785143,,,
10,6.5809489,,,
10,2.3093179,,,
10,1.2986489,,,
10,2.301115,,,
10,1.6357497,,,
10,2.106172,,,
10,3.7447135,,,
10,2.765807,,,
10,5.5087867,,,
10,0.3936588,,,
10,3.8001014,,,
10,2.2901947,,,
10,4.7186146,,,
10,2.2407442,,,
10,2.314527,,,
10,1.2887643,,,
10,3.2176182,,,
10,3.0865169,,,
10,3.7745206,,,
10,1.899313,,,
10,1.1524157,,,
10,2.8794268,,,
10,2.5137926,,,
10,2.6067538,,,
10,2.7179923,,,
10,2.6983442,,,
10,2.2132553,,,
10,1.8963094,,,
10,1.7037526,,,
10,2.4390575,,,
10,2.0492932,,,
10,1.4170296,,,
10,1.3290159,,,
10,1.6140844,,,
10,1.5755131,,,
10,2.635745,,,
10,1.0835438,,,
10,2.8132068,,,
10,1.2338454,,,
10,1.8256828,,,
10,2.1907612,,,
10,2.3980096,,,
10,1.7951651,,,
10,4.8031282,,,
10,4.8258703,,,
10,2.9670533,,,
10,3.6918568,,,
10,3.9478194,,,
10,2.5254195,,,
